set_names,set_codes,total_cards,release_date
Structure Deck: Sacred Beasts,SDSA,48,2020-07-10
Structure Deck: Seto Kaiba,SDKS,44,2016-10-20
Structure Deck: Shaddoll Showdown,SDSH,49,2020-02-13
Structure Deck: Soulburner,SDSB,45,2019-02-14
Structure Deck: Spellcaster's Judgment,SD6,36,2006-01-18
Structure Deck: Spirit Charmers,SDCH,41,2020-10-22
Structure Deck: Warrior's Triumph,SD5,36,2005-10-28
Structure Deck: Wave of Light,SR05,42,2018-01-18
Structure Deck: Yugi Muto,SDMY,45,2016-10-20
Structure Deck: Zombie Horde,SR07,42,2018-11-01
Structure Deck: Zombie Madness,SD2,28,2005-01-01
Summoned Skull Sample promotional card,SDY,1,2001-01-01
Super Starter Power-Up Pack,YS13,15,2013-06-14
Super Starter: Space-Time Showdown,YS14,40,2014-07-10
Super Starter: V for Victory,YS13,42,2013-06-14
"Swedish Shonen Jump 2004, Issue 2 promotional card",JMP,1,2004-11-01
"Swedish Shonen Jump 2005, Issue 12 promotional card",JMP,1,2005-11-01
Synchron Extreme Structure Deck,SDSE,43,2015-08-27
Tactical Evolution,TAEV,90,2007-08-15
Tactical Evolution Sneak Peek Participation Card,TAEV,1,2007-08-04
Tactical Evolution: Special Edition,TAEV,2,2007-09-12
The Dark Emperor Structure Deck,SDDE,36,2008-04-02
The Dark Illusion,TDIL,100,2016-08-04
The Dark Illusion Sneak Peek Participation Card,TDIL,1,2016-07-30
The Dark Illusion: Special Edition,TDIL,4,2016-09-15
The Duelist Genesis,TDGS,100,2008-09-02
The Duelist Genesis Sneak Peek Participation Card,TDGS,1,2008-08-09
The Duelist Genesis: Special Edition,TDGS,2,2008-10-07
The Grand Creators,GRCR,60,2022-01-27
The Infinity Chasers,INCH,60,2019-03-21
The Lost Art Promotion 2020 D,LART,1,2020-06-01
The Lost Art Promotion 2020 E,LART,1,2020-06-01
The Lost Art Promotion 2020 F,LART,1,2020-06-01
The Lost Art Promotion 2020 G,LART,1,2020-10-01
The Lost Art Promotion 2020 H,LART,1,2020-09-01
The Lost Art Promotion 2020 I,LART,1,2020-08-01
The Lost Art Promotion 2020 K,LART,1,2020-01-11
The Lost Art Promotion 2020 L,LART,1,2020-11-01
The Lost Art Promotion 2020 M,LART,1,2020-10-10
The Lost Art Promotion 2020 N,LART,1,2020-08-01
The Lost Art Promotion 2020 O,LART,1,2020-12-01
The Lost Art Promotion 2020 P,LART,1,2020-09-01
The Lost Art Promotion 2020 Q,LART,1,2020-10-01
The Lost Art Promotion 2020 R,LART,1,2020-10-01
The Lost Art Promotion 2021 A,LART,1,2021-01-01
The Lost Art Promotion 2021 B,LART,1,2021-03-01
The Lost Art Promotion 2021 C,LART,1,2021-04-01
The Lost Art Promotion 2021 D,LART,1,2021-05-01
The Lost Art Promotion 2021 E,LART,1,2021-06-01
The Lost Art Promotion 2021 F,LART,1,2021-07-01
The Lost Art Promotion 2021 G,LART,1,2021-08-01
The Lost Art Promotion 2021 H,LART,1,2021-08-01
The Lost Art Promotion 2021 I,LART,1,2021-09-01
The Lost Art Promotion 2021 J,LART,1,2021-11-01
The Lost Art Promotion 2021 K,LART,1,2021-11-01
The Lost Art Promotion 2021 L,LART,1,2021-01-01
The Lost Art Promotion 2022 A,LART,1,2022-01-01
The Lost Art Promotion A,LART,1,2018-02-01
The Lost Art Promotion B,LART,1,2018-03-01
The Lost Art Promotion C,LART,1,2018-04-01
The Lost Art Promotion D,LART,1,2018-05-01
The Lost Art Promotion E,LART,1,2018-06-01
The Lost Art Promotion F,LART,1,2018-07-01
The Lost Art Promotion G,LART,1,2019-01-01
The Lost Art Promotion H,LART,1,2019-02-01
The Lost Art Promotion I,LART,1,2019-03-01
The Lost Art Promotion J,LART,1,2019-06-01
The Lost Art Promotion K,LART,1,2019-07-01
The Lost Art Promotion L,LART,1,2019-08-01
The Lost Art Promotion M,LART,1,2019-02-01
The Lost Art Promotion N,LART,1,2020-02-01
The Lost Art Promotion O,LART,1,2020-03-01
The Lost Millennium,TLM,60,2005-06-01
The Lost Millennium Sneak Peek Participation Card,SP1,1,2005-05-28
The Lost Millennium: Special Edition,TLM,4,2005-06-10
The New Challengers,NECH,100,2014-11-06
The New Challengers Sneak Peek Participation Card,NECH,1,2014-11-01
The New Challengers: Super Edition,NECH,14,2014-12-04
The Secret Forces,THSF,60,2015-02-12
The Shining Darkness,TSHD,100,2010-05-07
The Shining Darkness Sneak Peek Participation Card,TSHD,1,2010-05-01
Toon Chaos,TOCH,60,2020-06-19
Tournament Pack 4,TP4,20,2003-10-01
Tournament Pack 5,TP5,20,2004-11-01
Tournament Pack 6,TP6,20,2005-06-01
Tournament Pack 7,TP7,20,2005-11-01
Tournament Pack 8,TP8,20,2006-04-28
Tournament Pack: 1st Season,TP1,60,2002-09-01
Tournament Pack: 2nd Season,TP2,30,2002-10-01
Tournament Pack: 3rd Season,TP3,20,2003-03-01
Trials of the Pharaoh - Match of the Millennium & Twisted Nightmares promotional card,OPTP,1,2020-08-01
Trials of the Pharaoh - Speed Duel: Battle City Box promotional card,OPTP,1,2020-11-26
Trials of the Pharaoh - Trials of the Kingdom promotional card,OPTP,1,2020-01-01
Turbo Pack: Booster Eight,TU08,21,2012-06-01
Turbo Pack: Booster Five,TU05,21,2011-04-09
Turbo Pack: Booster Four,TU04,21,2010-11-13
Turbo Pack: Booster One,TU01,21,2009-08-15
Turbo Pack: Booster Seven,TU07,21,2012-01-01
Turbo Pack: Booster Six,TU06,21,2011-08-04
Turbo Pack: Booster Three,TU03,21,2010-07-10
Turbo Pack: Booster Two,TU02,21,2010-01-09
Twilight Edition,TWED,1,2010-01-05
Ultimate Edition,JMP,1,2010-01-05
Ultimate Edition 2,UE02,1,2006-11-11
War of the Giants Reinforcements,WGRT,104,2014-01-17
War of the Giants: Round 2,BPW2,103,2014-01-17
Warriors' Strike Structure Deck,SDWS,38,2009-10-23
Weekly Shonen Jump Alpha April 2012 membership promotional card,JUMP,1,2012-05-30
Weekly Shonen Jump Alpha December 2012 membership promotional card,JUMP,1,2012-12-25
Weekly Shonen Jump Alpha July 2012 membership promotional card,JUMP,1,2012-08-27
Weekly Shonen Jump Alpha September 2012 membership promotional card,JUMP,1,2012-10-12
Weekly Shonen Jump April 2015 membership promotional card,JUMP,1,2015-05-07
Weekly Shonen Jump April 2016 membership promotional card,JUMP,1,2016-04-20
Weekly Shonen Jump April 2017 membership promotional card,JUMP,1,2017-04-01
Weekly Shonen Jump April 2018 membership promotional card,JUMP,1,2018-05-01
Weekly Shonen Jump August 2014 membership promotional card,JUMP,1,2014-08-18
Weekly Shonen Jump December 2013 membership promotional card,JUMP,1,2013-12-15
Weekly Shonen Jump December 2018 membership promotional cards,JUMP,4,2018-12-01
Weekly Shonen Jump February 2015 membership promotional card,JUMP,1,2015-02-19
Weekly Shonen Jump January 2016 membership promotional card,JUMP,1,2016-01-18
Weekly Shonen Jump January 2017 membership promotional card,JUMP,1,2017-01-16
Weekly Shonen Jump January 2018 membership promotional card,JUMP,1,2018-01-01
Weekly Shonen Jump July 2013 membership promotional card,JUMP,1,2013-07-09
Weekly Shonen Jump July 2015 membership promotional card,JUMP,1,2015-07-01
Weekly Shonen Jump July 2016 membership promotional card,JUMP,1,2016-07-04
Weekly Shonen Jump July 2017 membership promotional card,JUMP,1,2017-06-30
Weekly Shonen Jump July 2018 membership promotional card,JUMP,1,2018-08-12
Weekly Shonen Jump March 2013 membership promotional card,JUMP,1,2013-03-15
Weekly Shonen Jump March 2014 membership promotional card,JUMP,1,2014-03-13
Weekly Shonen Jump November 2014 membership promotional card,JUMP,1,2014-10-08
Weekly Shonen Jump November 2017 membership promotional card,JUMP,1,2017-11-01
Weekly Shonen Jump November 2018 membership promotional card,JUMP,1,2018-11-21
Weekly Shonen Jump October 2015 membership promotional card,JUMP,1,2015-10-07
Weekly Shonen Jump October 2016 membership promotional card,JUMP,1,2016-10-06
Weekly Shonen Jump September 2013 membership promotional card,JUMP,1,2013-10-24
Wing Raiders,WIRA,60,2016-02-11
World Championship 2010 Card Pack,WCPP,20,2010-08-14
World Championship 2011 Card Pack,WP11,20,2011-08-01
World Superstars,WSUP,50,2015-04-16
WSJ Jump Pack Fall 2016 promotional card,JMPS,1,2016-07-01
WSJ Jump Pack Fall 2017 promotional card,JMPS,1,2017-08-01
WSJ Jump Pack Fall 2018 promotional card,JMPS,1,2018-09-01
WSJ Jump Pack Spring 2016 promotional card,JMPS,1,2016-02-01
WSJ Jump Pack Spring 2017 promotional card,JMPS,1,2017-01-01
WSJ Jump Pack Spring 2018 promotional card,JMPS,1,2018-01-01
WSJ Jump Pack Spring 2019 promotional card,JMPS,1,2019-01-01
X-Saber Power-Up,XSPU,1,2010-11-23
Yu-Gi-Oh! 3D Bonds Beyond Time DVD promotional card,MOV2,1,2011-07-25
Yu-Gi-Oh! 3D Bonds Beyond Time Movie Pack,YMP1,9,2011-02-22
Yu-Gi-Oh! 3D Bonds Beyond Time Theater distribution card,MOV2,1,2011-02-22
Yu-Gi-Oh! 5D's Duel Transer promotional cards,YDT1,3,2010-12-07
Yu-Gi-Oh! 5D's Stardust Accelerator promotional cards,WC09,2,2009-05-19
Yu-Gi-Oh! 5D's Tag Force 4 promotional cards,TF04,3,2009-11-17
Yu-Gi-Oh! 5D's Tag Force 5 promotional cards,TF05,3,2010-10-26
Yu-Gi-Oh! 5D's Volume 1 promotional card,YF01,1,2011-07-06
Yu-Gi-Oh! 5D's Volume 2 promotional card,YF02,1,2012-02-07
Yu-Gi-Oh! 5D's Volume 3 promotional card,YF03,1,2012-10-02
Yu-Gi-Oh! 5D's Volume 4 promotional card,YF04,1,2013-04-02
Yu-Gi-Oh! 5D's Volume 5 promotional card,YF05,1,2013-11-05
Yu-Gi-Oh! 5D's Volume 6 promotional card,YF06,1,2014-09-02
Yu-Gi-Oh! 5D's Volume 7 promotional card,YF07,1,2015-03-03
Yu-Gi-Oh! 5D's volume 8 promotional card,YF08,1,2015-10-06
Yu-Gi-Oh! 5D's Volume 9 promotional card,YF09,1,2016-04-05
Yu-Gi-Oh! 5D's Wheelie Breakers Promotional Cards,WB01,3,2009-05-19
Yu-Gi-Oh! 5D's World Championship 2009: Stardust Accelerator promotional cards,WC09,1,2009-05-19
Yu-Gi-Oh! 5D's World Championship 2010: Reverse of Arcadia promotional cards,WC10,3,2010-02-23
Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus promotional cards,WC11,3,2011-05-10
Yu-Gi-Oh! 7 Trials to Glory: World Championship Tournament 2005 promotional cards,WC5,3,2005-02-15
Yu-Gi-Oh! Advent Calendar,AC19,1,2019-09-26
Yu-Gi-Oh! Advent Calendar (2018),AC18,24,2018-10-25
Yu-Gi-Oh! Advent Calendar (2019),AC19,23,2019-09-26
Yu-Gi-Oh! ARC-V Volume 1 promotional card,YA01,1,2017-04-04
Yu-Gi-Oh! ARC-V Volume 2 promotional card,YA02,1,2017-09-05
Yu-Gi-Oh! ARC-V Volume 3 promotional card,YA03,1,2018-03-06
Yu-Gi-Oh! ARC-V Volume 4 promotional card,YA04,1,2018-11-06
Yu-Gi-Oh! ARC-V Volume 5 promotional card,YA05,1,2019-03-05
Yu-Gi-Oh! ARC-V Volume 6 promotional card,YA06,1,2019-09-03
Yu-Gi-Oh! ARC-V Volume 7 promotional card,YA07,1,2020-06-02
Yu-Gi-Oh! at Home Sweepstakes,SBPR,1,2020-12-07
Yu-Gi-Oh! Capsule Monster Coliseum promotional cards,CMC,3,2004-11-26
Yu-Gi-Oh! Championship Series 2010 Prize Cards,YCSW,3,2010-05-16
Yu-Gi-Oh! Championship Series 2011 Prize Card,YCSW,1,2011-08-07
Yu-Gi-Oh! Championship Series 2012 Prize Card,YCSW,1,2012-09-01
Yu-Gi-Oh! Championship Series 2013 Prize Card,YCSW,1,2013-09-01
Yu-Gi-Oh! Championship Series 2014 Prize Card,YCSW,1,2014-09-07
Yu-Gi-Oh! Championship Series 2015 Prize Card,YCSW,1,2015-08-30
Yu-Gi-Oh! Championship Series 2016 Prize Card,YCSW,1,2016-08-28
Yu-Gi-Oh! Championship Series 2017 prize card,YCSW,1,2017-08-27
Yu-Gi-Oh! Championship Series 2018 prize card,YCSW,1,2018-09-22
Yu-Gi-Oh! Championship Series 2019 prize card,YCSW,1,2019-08-25
Yu-Gi-Oh! Dark Duel Stories promotional cards,DDS,6,2002-03-19
Yu-Gi-Oh! Day April 2019 promotional card,YDPR,1,2019-04-06
Yu-Gi-Oh! Destiny Board Traveler promotional cards,DBT,3,2004-10-26
Yu-Gi-Oh! Double Pack promotional cards,ROD,2,2006-02-22
Yu-Gi-Oh! Elemental Hero Collection 1,EHC1,4,2007-11-13
Yu-Gi-Oh! Elemental Hero Collection 2,EHC2,4,2007-11-13
Yu-Gi-Oh! Forbidden Memories promotional cards,FMR,3,2002-11-25
Yu-Gi-Oh! GX Card Almanac promotional cards,YDB1,3,2007-11-30
Yu-Gi-Oh! GX Duel Academy promotional cards,GX1,3,2006-01-10
Yu-Gi-Oh! GX Special Edition,GSE,1,2006-04-01
Yu-Gi-Oh! GX Spirit Caller promotional cards,GX03,3,2007-01-02
Yu-Gi-Oh! GX Tag Force 2 promotional cards,GX04,3,2007-09-18
Yu-Gi-Oh! GX Tag Force 3 promotional cards,GX06,3,2008-11-28
Yu-Gi-Oh! GX Tag Force Evolution promotional cards,GX05,3,2007-12-07
Yu-Gi-Oh! GX Tag Force promotional cards,GX02,3,2006-11-16
Yu-Gi-Oh! GX Ultimate Beginner's Pack,UBP1,5,2006-07-19
Yu-Gi-Oh! GX Volume 1 promotional card,YG01,1,2007-11-06
Yu-Gi-Oh! GX Volume 2 promotional card,YG02,1,2008-11-04
Yu-Gi-Oh! GX Volume 3 promotional card,YG03,1,2009-06-02
Yu-Gi-Oh! GX Volume 4 promotional card,YG04,1,2010-01-05
Yu-Gi-Oh! GX Volume 5 promotional card,YG05,1,2010-10-05
Yu-Gi-Oh! GX Volume 6 promotional card,YG06,1,2011-03-01
Yu-Gi-Oh! GX Volume 7 promotional card,YG07,1,2011-08-18
Yu-Gi-Oh! GX Volume 8 promotional card,YG08,1,2012-01-03
Yu-Gi-Oh! GX Volume 9 promotional card,YG09,1,2011-08-07
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution promotional cards,LOD2,3,2019-08-20
Yu-Gi-Oh! Nightmare Troubadour promotional cards,NTR,3,2005-08-30
Yu-Gi-Oh! Power of Chaos: Joey the Passion promotional cards,PCJ,3,2004-06-29
Yu-Gi-Oh! Power of Chaos: Kaiba the Revenge promotional cards,PCK,6,2004-04-06
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny Limited Collector's Edition,PCY,2,2003-11-18
Yu-Gi-Oh! Power of Chaos: Yugi the Destiny promotional cards,PCY,10,2003-11-18
Yu-Gi-Oh! R Volume 1 promotional card,YR01,1,2009-06-10
Yu-Gi-Oh! R Volume 3 promotional card,YR01,1,2010-02-02
Yu-Gi-Oh! R Volume 4 promotional card,YR04,1,2010-04-29
Yu-Gi-Oh! R Volume 5 promotional card,YR05,1,2010-06-02
Yu-Gi-Oh! Reshef of Destruction promotional cards,ROD,3,2004-06-29
Yu-Gi-Oh! TCG Remote Duel Extravaganza participation card,21CC,1,2021-05-22
Yu-Gi-Oh! The Dark Side of Dimensions Blu-ray & DVD promotional card,MVPC,1,2017-05-29
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack,MVP1,57,2016-07-21
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Secret Edition,MVP1,63,2020-01-23
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack Special Edition,MVP1,4,2018-09-07
Yu-Gi-Oh! The Dark Side of Dimensions Movie Pack: Gold Edition,MVP1,61,2017-01-12
Yu-Gi-Oh! The Dark Side of Dimensions Theater distribution cards,MVPC,1,2017-01-27
Yu-Gi-Oh! The Dawn of Destiny promotional cards,DOD,5,2004-03-23
Yu-Gi-Oh! The Duelists of the Roses promotional cards,DOR,6,2003-02-16
Yu-Gi-Oh! The Eternal Duelist Soul promotional cards,EDS,3,2002-10-15
Yu-Gi-Oh! The Falsebound Kingdom promotional cards,TFK,6,2003-11-04
Yu-Gi-Oh! The Sacred Cards promotional cards,TSC,6,2003-11-04
Yu-Gi-Oh! Trading Card Game Tour 2004 promotional card,EM1,1,2004-06-19
Yu-Gi-Oh! Ultimate Masters: World Championship Tournament 2006 promotional cards,WC6,3,2006-03-14
Yu-Gi-Oh! World Championship 2004 prize cards,WCS,3,2004-07-25
Yu-Gi-Oh! World Championship 2005 prize cards,WCS,2,2005-08-07
Yu-Gi-Oh! World Championship 2006 prize cards,WCPS,1,2006-07-02
Yu-Gi-Oh! World Championship 2007 prize cards,WCPS,3,2007-07-28
Yu-Gi-Oh! World Championship 2007 promotional cards,WC07,3,2007-03-20
Yu-Gi-Oh! World Championship 2008 promotional cards,WC08,3,2007-12-04
Yu-Gi-Oh! World Championship 2017 prize cards,2017,2,2017-08-13
Yu-Gi-Oh! World Championship 2018 prize cards,2018,2,2018-08-05
Yu-Gi-Oh! World Championship 2019 Japanese National Qualifiers prize cards,2019,2,2019-02-01
Yu-Gi-Oh! World Championship Qualifier National Championships 2011 prize cards,WQ11,3,2011-05-01
Yu-Gi-Oh! World Championship Tournament 2004 promotional cards,WC4,6,2004-02-10
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel promotional cards,SDD,6,2003-04-15
Yu-Gi-Oh! ZEXAL Volume 1 promotional card,YZ01,1,2012-06-05
Yu-Gi-Oh! ZEXAL Volume 2 promotional card,YZ02,1,2012-12-04
Yu-Gi-Oh! ZEXAL Volume 3 promotional card,YZ03,1,2013-06-04
Yu-Gi-Oh! ZEXAL Volume 4 promotional card,YZ04,1,2014-01-07
Yu-Gi-Oh! ZEXAL Volume 5 promotional card,YZ05,1,2014-07-01
Yu-Gi-Oh! ZEXAL Volume 6 promotional card,YZ06,1,2015-02-03
Yu-Gi-Oh! ZEXAL Volume 7 promotional card,YZ07,1,2015-09-01
Yu-Gi-Oh! ZEXAL Volume 8 promotional card,YZ08,1,2016-03-01
Yu-Gi-Oh! ZEXAL Volume 9 promotional card,YZ09,1,2016-09-06
Yu-Gi-Oh! ZEXAL World Duel Carnival promotional cards,ZDC1,3,2014-06-26
Yugi & Kaiba Collector Box,YUCB,2,2018-03-29
Yugi's Collector Box,YUCB,1,2017-09-15
Yugi's Legendary Decks,YGLD,126,2015-11-12
Zexal Collection Tin,ZTIN,24,2013-03-07
Zombie World Structure Deck,SDZW,37,2008-10-21
